Abbeville|AL|-85250488|31571838|-85267487|31588837|-85233490|31554840
Abbeville|SC|-82379021|34178173|-82403584|34203107|-82347997|34154065
Abbeville|LA|-92134293|29974646|-92170461|30006296|-92022795|29938471
Abbeville|GA|-83306816|31992117|-83323892|32009193|-83289740|31975041
Abbeville|MS|-89503143|34503162|-89520717|34520736|-89485570|34485589
Abbotsford|WI|-90315964|44946354|-90331414|44956656|-90308184|44900493
Abbott|AR|-94194420|35073719|-94212115|35091415|-94176724|35056023
Abbott|TX|-97073341|31884878|-97090397|31901934|-97056286|31867822
Abbott|VA|-80139122|37429413|-80157359|37447650|-80120885|37411176
Abbott|WV|-80322929|38922035|-80341544|38940650|-80304315|38903421
Abbott|NM|-104261398|36304886|-104279369|36322857|-104243428|36286915
Abbottsburg|NC|-78724274|34517456|-78741850|34535033|-78706697|34499879
Abbottstown|PA|-76984703|39886490|-77003577|39905364|-76965829|39867616
Abbyville|KS|-98204231|37970844|-98222602|37989215|-98185860|37952473
Abell|TX|-101459587|35393448|-101477353|35411213|-101441822|35375682
Abercrombie|ND|-96730362|46447742|-96751381|46468761|-96709343|46426724
Aberdeen|ID|-112838326|42944084|-112858110|42963868|-112818541|42924300
Aberdeen|MD|-76164108|39509552|-76182879|39528323|-76145337|39490781
Aberdeen|SD|-98486481|45464699|-98515966|45489446|-98443725|45436381
Aberdeen|MS|-88543655|33825115|-88585015|33842924|-88533836|33782314
Aberdeen|FL|-80148636|26550592|-80164825|26566782|-80132446|26534403
Aberdeen|WA|-123815712|46975376|-123917980|47004036|-123759377|46940096
Aberdeen|KY|-86681770|37254181|-86699965|37272376|-86663576|37235986
Aberdeen|OH|-83761032|38655632|-83779577|38674177|-83742487|38637087
Aberdeen|NC|-79429474|35131546|-79447182|35149254|-79411766|35113838
Aberdeen--Havre de Grace--Bel Air|MD|-76296817|39506058|-76468592|39655206|-76035904|39389790
Aberfoil|AL|-85687782|32070564|-85704873|32087655|-85670692|32053474
Abernant|AL|-87197800|33290455|-87215125|33307780|-87180474|33273129
Abernathy|TX|-101842949|33832298|-101855236|33847031|-101819226|33821332
Abeytas|NM|-106808243|34468410|-106825809|34485977|-106790677|34450844
Abie|NE|-96948921|41334179|-96968209|41353466|-96929634|41314892
Abilene|KS|-97213905|38917221|-97251398|38944195|-97199475|38904319
Abilene|TX|-99733147|32448734|-99872993|32507345|-99665248|32352092
Abilene North (Robertson Unit)|TX|-99630458|32563283|-99633494|32564396|-99627514|32562176
Abingdon|IA|-92139503|41082317|-92158717|41101531|-92120290|41063104
Abingdon|MD|-76278740|39462467|-76297498|39481226|-76259982|39443709
Abingdon|IL|-90401802|40804478|-90414653|40816255|-90376373|40791531
Abingdon|VA|-81977348|36709831|-82086196|36743785|-81914243|36659765
Abington|MA|-70944359|42104912|-70963879|42124432|-70924839|42085392
Abington|PA|-75117432|40120739|-75136370|40139678|-75098493|40101800
Abiquiu|NM|-106319916|36208229|-106337864|36226178|-106301967|36190280
Abita Springs|LA|-90037575|30478523|-90054379|30495328|-90020770|30461719
Abo|NM|-106324951|34461666|-106342516|34479231|-106307386|34444101
Aboite|IN|-85318253|41001041|-85337442|41020231|-85299063|40981852
Abraham|UT|-112719101|39396702|-112737842|39415443|-112700360|39377961
Abram|TX|-98411125|26199791|-98427266|26215932|-98394985|26183650
Abrams|WI|-88059929|44779381|-88080332|44799783|-88039526|44758978
Absarokee|MT|-109434502|45527260|-109455174|45547932|-109413830|45506588
Absecon|NJ|-74495705|39428448|-74514454|39447197|-74476955|39409698
Academy|SD|-99084702|43455143|-99104652|43475093|-99064751|43435193
Accident|MD|-79319756|39628693|-79338559|39647496|-79300952|39609889
Accokeek|MD|-77027596|38668018|-77046144|38686567|-77009047|38649470
Accomac|VA|-75665482|37719570|-75683790|37737879|-75647173|37701262
Accord|MA|-70882523|42174583|-70902064|42194125|-70862981|42155042
Ace|TX|-94824585|30536896|-94841399|30553710|-94807771|30520081
Aceitunas|PR|-67067451|18445999|-67082718|18461266|-67052185|18430733
Acequia|ID|-113596947|42667969|-113616643|42687665|-113577251|42648273
Achille|OK|-96387207|33833427|-96404642|33850862|-96369772|33815993
Achilles|VA|-76439461|37280563|-76457662|37298765|-76421260|37262362
Ackerly|TX|-101715973|32526501|-101733149|32543677|-101698796|32509324
